編號,交易日期,交易時段
628,2017/6/23,一般
629,2017/6/26,盤後
630,2017/6/26,一般
631,2017/6/27,盤後
632,2017/6/27,一般
633,2017/6/28,盤後
634,2017/6/28,一般
635,2017/6/29,盤後
636,2017/6/29,一般
637,2017/6/30,盤後
638,2017/6/30,一般
639,2017/7/3,盤後
640,2017/7/3,一般
641,2017/7/4,盤後
642,2017/7/4,一般
643,2017/7/5,盤後
644,2017/7/5,一般
645,2017/7/6,盤後
646,2017/7/6,一般
647,2017/7/7,盤後
648,2017/7/7,一般
649,2017/7/10,盤後
650,2017/7/10,一般
651,2017/7/11,盤後
652,2017/7/11,一般
653,2017/7/12,盤後
654,2017/7/12,一般
655,2017/7/13,盤後
656,2017/7/13,一般
657,2017/7/14,盤後
658,2017/7/14,一般
659,2017/7/17,盤後
660,2017/7/17,一般
661,2017/7/18,盤後
662,2017/7/18,一般
663,2017/7/19,盤後
664,2017/7/19,一般
665,2017/7/20,盤後
666,2017/7/20,一般
667,2017/7/21,盤後
668,2017/7/21,一般
669,2017/7/24,盤後
670,2017/7/24,一般
671,2017/7/25,盤後
672,2017/7/25,一般
673,2017/7/26,盤後
674,2017/7/26,一般
675,2017/7/27,盤後
676,2017/7/27,一般
677,2017/7/28,盤後
678,2017/7/28,一般
679,2017/7/31,盤後
680,2017/7/31,一般
681,2017/8/1,盤後
682,2017/8/1,一般
683,2017/8/2,盤後
684,2017/8/2,一般
685,2017/8/3,盤後
686,2017/8/3,一般
687,2017/8/4,盤後
688,2017/8/4,一般
689,2017/8/7,盤後
690,2017/8/7,一般
691,2017/8/8,盤後
692,2017/8/8,一般
693,2017/8/9,盤後
694,2017/8/9,一般
695,2017/8/10,盤後
696,2017/8/10,一般
697,2017/8/11,盤後
698,2017/8/11,一般
699,2017/8/14,盤後
700,2017/8/14,一般
701,2017/8/15,盤後
702,2017/8/15,一般
703,2017/8/16,盤後
704,2017/8/16,一般
705,2017/8/17,盤後
706,2017/8/17,一般
707,2017/8/18,盤後
708,2017/8/18,一般
709,2017/8/21,盤後
710,2017/8/21,一般
711,2017/8/22,盤後
712,2017/8/22,一般
713,2017/8/23,盤後
714,2017/8/23,一般
715,2017/8/24,盤後
716,2017/8/24,一般
717,2017/8/25,盤後
718,2017/8/25,一般
719,2017/8/28,盤後
720,2017/8/28,一般
721,2017/8/29,盤後
722,2017/8/29,一般
723,2017/8/30,盤後
724,2017/8/30,一般
725,2017/8/31,盤後
726,2017/8/31,一般
727,2017/9/1,盤後
728,2017/9/1,一般
729,2017/9/4,盤後
730,2017/9/4,一般
731,2017/9/5,盤後
732,2017/9/5,一般
733,2017/9/6,盤後
734,2017/9/6,一般
735,2017/9/7,盤後
736,2017/9/7,一般
737,2017/9/8,盤後
738,2017/9/8,一般
739,2017/9/11,盤後
740,2017/9/11,一般
741,2017/9/12,盤後
742,2017/9/12,一般
743,2017/9/13,盤後
744,2017/9/13,一般
745,2017/9/14,盤後
746,2017/9/14,一般
747,2017/9/15,盤後
748,2017/9/15,一般
749,2017/9/18,盤後
750,2017/9/18,一般
751,2017/9/19,盤後
752,2017/9/19,一般
753,2017/9/20,盤後
754,2017/9/20,一般
755,2017/9/21,盤後
756,2017/9/21,一般
757,2017/9/22,盤後
758,2017/9/22,一般
759,2017/9/25,盤後
760,2017/9/25,一般
761,2017/9/26,盤後
762,2017/9/26,一般
763,2017/9/27,盤後
764,2017/9/27,一般
765,2017/9/28,盤後
766,2017/9/28,一般
767,2017/9/29,盤後
768,2017/9/29,一般
769,2017/9/30,盤後
770,2017/9/30,一般
771,2017/10/2,一般
772,2017/10/3,盤後
773,2017/10/3,一般
774,2017/10/5,盤後
775,2017/10/5,一般
776,2017/10/6,盤後
777,2017/10/6,一般
778,2017/10/11,盤後
779,2017/10/11,一般
780,2017/10/12,盤後
781,2017/10/12,一般
782,2017/10/13,盤後
783,2017/10/13,一般
784,2017/10/16,盤後
785,2017/10/16,一般
786,2017/10/17,盤後
787,2017/10/17,一般
788,2017/10/18,盤後
789,2017/10/18,一般
790,2017/10/19,盤後
791,2017/10/19,一般
792,2017/10/20,盤後
793,2017/10/20,一般
794,2017/10/23,盤後
795,2017/10/23,一般
796,2017/10/24,盤後
797,2017/10/24,一般
798,2017/10/25,盤後
799,2017/10/25,一般
800,2017/10/26,盤後
801,2017/10/26,一般
802,2017/10/27,盤後
803,2017/10/27,一般
804,2017/10/30,盤後
805,2017/10/30,一般
806,2017/10/31,盤後
807,2017/10/31,一般
808,2017/11/1,盤後
809,2017/11/1,一般
810,2017/11/2,盤後
811,2017/11/2,一般
812,2017/11/3,盤後
813,2017/11/3,一般
814,2017/11/6,盤後
815,2017/11/6,一般
816,2017/11/7,盤後
817,2017/11/7,一般
818,2017/11/8,盤後
819,2017/11/8,一般
820,2017/11/9,盤後
821,2017/11/9,一般
822,2017/11/10,盤後
823,2017/11/10,一般
824,2017/11/13,盤後
825,2017/11/13,一般
826,2017/11/14,盤後
827,2017/11/14,一般
828,2017/11/15,盤後
829,2017/11/15,一般
830,2017/11/16,盤後
831,2017/11/16,一般
832,2017/11/17,盤後
833,2017/11/17,一般
834,2017/11/20,盤後
835,2017/11/20,一般
836,2017/11/21,盤後
837,2017/11/21,一般
838,2017/11/22,盤後
839,2017/11/22,一般
840,2017/11/23,盤後
841,2017/11/23,一般
842,2017/11/24,盤後
843,2017/11/24,一般
844,2017/11/27,盤後
845,2017/11/27,一般
846,2017/11/28,盤後
847,2017/11/28,一般
848,2017/11/29,盤後
849,2017/11/29,一般
850,2017/11/30,盤後
851,2017/11/30,一般
852,2017/12/1,盤後
853,2017/12/1,一般
854,2017/12/4,盤後
855,2017/12/4,一般
856,2017/12/5,盤後
857,2017/12/5,一般
858,2017/12/6,盤後
859,2017/12/6,一般
860,2017/12/7,盤後
861,2017/12/7,一般
862,2017/12/8,盤後
863,2017/12/8,一般
864,2017/12/11,盤後
865,2017/12/11,一般
866,2017/12/12,盤後
867,2017/12/12,一般
868,2017/12/13,盤後
869,2017/12/13,一般
870,2017/12/14,盤後
871,2017/12/14,一般
872,2017/12/15,盤後
873,2017/12/15,一般
874,2017/12/18,盤後
875,2017/12/18,一般
876,2017/12/19,盤後
877,2017/12/19,一般
878,2017/12/20,盤後
879,2017/12/20,一般
880,2017/12/21,盤後
881,2017/12/21,一般
882,2017/12/22,盤後
883,2017/12/22,一般
884,2017/12/25,盤後
885,2017/12/25,一般
886,2017/12/26,盤後
887,2017/12/26,一般
888,2017/12/27,盤後
889,2017/12/27,一般
890,2017/12/28,盤後
891,2017/12/28,一般
892,2017/12/29,盤後
893,2017/12/29,一般
894,2018/1/2,盤後
895,2018/1/2,一般
896,2018/1/3,盤後
897,2018/1/3,一般
898,2018/1/4,盤後
899,2018/1/4,一般
900,2018/1/5,盤後
901,2018/1/5,一般
902,2018/1/8,盤後
903,2018/1/8,一般
904,2018/1/9,盤後
905,2018/1/9,一般
906,2018/1/10,盤後
907,2018/1/10,一般
908,2018/1/11,盤後
909,2018/1/11,一般
910,2018/1/12,盤後
911,2018/1/12,一般
912,2018/1/15,盤後
913,2018/1/15,一般
914,2018/1/16,盤後
915,2018/1/16,一般
916,2018/1/17,盤後
917,2018/1/17,一般
918,2018/1/18,盤後
919,2018/1/18,一般
920,2018/1/19,盤後
921,2018/1/19,一般
922,2018/1/22,盤後
923,2018/1/22,一般
924,2018/1/23,盤後
925,2018/1/23,一般
926,2018/1/24,盤後
927,2018/1/24,一般
928,2018/1/25,盤後
929,2018/1/25,一般
930,2018/1/26,盤後
931,2018/1/26,一般
932,2018/1/29,盤後
933,2018/1/29,一般
934,2018/1/30,盤後
935,2018/1/30,一般
936,2018/1/31,盤後
937,2018/1/31,一般
938,2018/2/1,盤後
939,2018/2/1,一般
940,2018/2/2,盤後
941,2018/2/2,一般
942,2018/2/5,盤後
943,2018/2/5,一般
944,2018/2/6,盤後
945,2018/2/6,一般
946,2018/2/7,盤後
947,2018/2/7,一般
948,2018/2/8,盤後
949,2018/2/8,一般
950,2018/2/9,盤後
951,2018/2/9,一般
952,2018/2/12,盤後
953,2018/2/12,一般
954,2018/2/21,盤後
955,2018/2/21,一般
956,2018/2/22,盤後
957,2018/2/22,一般
958,2018/2/23,盤後
959,2018/2/23,一般
960,2018/2/26,盤後
961,2018/2/26,一般
962,2018/2/27,盤後
963,2018/2/27,一般
964,2018/3/1,盤後
965,2018/3/1,一般
966,2018/3/2,盤後
967,2018/3/2,一般
968,2018/3/5,盤後
969,2018/3/5,一般
970,2018/3/6,盤後
971,2018/3/6,一般
972,2018/3/7,盤後
973,2018/3/7,一般
974,2018/3/8,盤後
975,2018/3/8,一般
976,2018/3/9,盤後
977,2018/3/9,一般
978,2018/3/12,盤後
979,2018/3/12,一般
980,2018/3/13,盤後
981,2018/3/13,一般
982,2018/3/14,盤後
983,2018/3/14,一般
984,2018/3/15,盤後
985,2018/3/15,一般
986,2018/3/16,盤後
987,2018/3/16,一般
988,2018/3/19,盤後
989,2018/3/19,一般
990,2018/3/20,盤後
991,2018/3/20,一般
992,2018/3/21,盤後
993,2018/3/21,一般
994,2018/3/22,盤後
995,2018/3/22,一般
996,2018/3/23,盤後
997,2018/3/23,一般
998,2018/3/26,盤後
999,2018/3/26,一般
1000,2018/3/27,盤後
1001,2018/3/27,一般
1002,2018/3/28,盤後
1003,2018/3/28,一般
1004,2018/3/29,盤後
1005,2018/3/29,一般
1006,2018/3/30,盤後
1007,2018/3/30,一般
1008,2018/3/31,盤後
1009,2018/3/31,一般
1010,2018/4/2,一般
1011,2018/4/3,盤後
1012,2018/4/3,一般
1013,2018/4/9,盤後
1014,2018/4/9,一般
1015,2018/4/10,盤後
1016,2018/4/10,一般
1017,2018/4/11,盤後
1018,2018/4/11,一般
1019,2018/4/12,盤後
1020,2018/4/12,一般
1021,2018/4/13,盤後
1022,2018/4/13,一般
1023,2018/4/16,盤後
1024,2018/4/16,一般
1025,2018/4/17,盤後
1026,2018/4/17,一般
1027,2018/4/18,盤後
1028,2018/4/18,一般
1029,2018/4/19,盤後
1030,2018/4/19,一般
1031,2018/4/20,盤後
1032,2018/4/20,一般
1033,2018/4/23,盤後
1034,2018/4/23,一般
1035,2018/4/24,盤後
1036,2018/4/24,一般
1037,2018/4/25,盤後
1038,2018/4/25,一般
1039,2018/4/26,盤後
1040,2018/4/26,一般
1041,2018/4/27,盤後
1042,2018/4/27,一般
1043,2018/4/30,盤後
1044,2018/4/30,一般
1045,2018/5/2,盤後
1046,2018/5/2,一般
1047,2018/5/3,盤後
1048,2018/5/3,一般
1049,2018/5/4,盤後
1050,2018/5/4,一般
1051,2018/5/7,盤後
1052,2018/5/7,一般
1053,2018/5/8,盤後
1054,2018/5/8,一般
1055,2018/5/9,盤後
1056,2018/5/9,一般
1057,2018/5/10,盤後
1058,2018/5/10,一般
1059,2018/5/11,盤後
1060,2018/5/11,一般
1061,2018/5/14,盤後
1062,2018/5/14,一般
1063,2018/5/15,盤後
1064,2018/5/15,一般
1065,2018/5/16,盤後
1066,2018/5/16,一般
1067,2018/5/17,盤後
1068,2018/5/17,一般
1069,2018/5/18,盤後
1070,2018/5/18,一般
1071,2018/5/21,盤後
1072,2018/5/21,一般
1073,2018/5/22,盤後
1074,2018/5/22,一般
1075,2018/5/23,盤後
1076,2018/5/23,一般
1077,2018/5/24,盤後
1078,2018/5/24,一般
1079,2018/5/25,盤後
1080,2018/5/25,一般
1081,2018/5/28,盤後
1082,2018/5/28,一般
1083,2018/5/29,盤後
1084,2018/5/29,一般
1085,2018/5/30,盤後
1086,2018/5/30,一般
1087,2018/5/31,盤後
1088,2018/5/31,一般
1089,2018/6/1,盤後
1090,2018/6/1,一般
1091,2018/6/4,盤後
1092,2018/6/4,一般
1093,2018/6/5,盤後
1094,2018/6/5,一般
1095,2018/6/6,盤後
1096,2018/6/6,一般
1097,2018/6/7,盤後
1098,2018/6/7,一般
1099,2018/6/8,盤後
1100,2018/6/8,一般
1101,2018/6/11,盤後
1102,2018/6/11,一般
1103,2018/6/12,盤後
1104,2018/6/12,一般
1105,2018/6/13,盤後
1106,2018/6/13,一般
1107,2018/6/14,盤後
1108,2018/6/14,一般
1109,2018/6/15,盤後
1110,2018/6/15,一般
1111,2018/6/19,盤後
1112,2018/6/19,一般
1113,2018/6/20,盤後
1114,2018/6/20,一般
1115,2018/6/21,盤後
1116,2018/6/21,一般
1117,2018/6/22,盤後
