編號,交易日期,契約,到期月份(週別),收盤價,交易時段,類型,剩餘天數,價平
145,2015/8/11,MTX,201508W2,8367,一般,近週,1,8350
145,2015/8/11,MTX,201508,8358,一般,近月,6,8400
145,2015/8/11,MTX,201509,8312,一般,遠月,26,8300
146,2015/8/12,MTX,201508W2,8275,一般,近週,0,8300
146,2015/8/12,MTX,201508,8301,一般,近月,5,8300
146,2015/8/12,MTX,201509,8259,一般,遠月,25,8300
147,2015/8/13,MTX,201508,8309,一般,近月,4,8300
147,2015/8/13,MTX,201509,8265,一般,遠月,24,8300
148,2015/8/14,MTX,201508,8330,一般,近月,3,8350
148,2015/8/14,MTX,201509,8278,一般,遠月,23,8300
149,2015/8/17,MTX,201508,8239,一般,近月,2,8250
149,2015/8/17,MTX,201509,8192,一般,遠月,22,8200
150,2015/8/18,MTX,201508,8172,一般,近月,1,8150
150,2015/8/18,MTX,201509,8122,一般,遠月,21,8100
151,2015/8/19,MTX,201508,8001,一般,近月,0,8000
151,2015/8/19,MTX,201508W4,8026,一般,遠週,5,8050
151,2015/8/19,MTX,201509,7970,一般,遠月,20,8000
152,2015/8/20,MTX,201508W4,8027,一般,近週,4,8050
152,2015/8/20,MTX,201509,7973,一般,近月,19,8000
152,2015/8/20,MTX,201510,7966,一般,遠月,41,8000
